	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
BCCIP	11.52	9.53	38.95	20.47	12.02	8.02	12.81	18.54	35.82	29.05	12.25	15.19	10	58.59	17.67	21.94	39.57	23.93	11.39	16.21	21.56	12.47	3.98	17.98
BCDIN3D	4.97	0.34	1.93	1.81	1.02	4.41	5.81	2.76	4.41	2.19	4.38	2.79	6.78	2.16	4.74	2.82	3.56	2.71	2.02	4.17	3.89	7.08	1.22	1.68
BCHE	0.77	0	0.22	0	0	1.64	3.53	0	5.28	0.43	0	0	0.82	0.37	0	0.32	0	1.44	2.57	0	0	0	0.86	0.48
BCKDHA	11.22	10.03	8.06	8.88	3.01	13.51	11.46	4.62	16.65	4.11	4.96	4.16	9.69	8.81	9.67	7.63	6.49	23.04	2.95	6.73	11.38	22.27	10.38	7.73
BCKDHB	6.47	3.54	5.53	12.01	3.72	7.85	5.1	4.77	8.53	5.33	11.44	7.96	6.66	4.28	4.31	3.75	5.03	0.62	4.03	12.65	7.46	4.38	8.68	10.71
BCKDK	9.08	5.3	4.69	17.99	2.12	13.65	15.55	4.72	6.86	3.64	12.52	6.86	15.44	4.26	8.65	7.71	6.7	20.29	6.15	5.76	5.43	23.72	18.65	10.03
BCL10	16.47	17.93	32.51	20.05	3.95	23.23	12.15	14.43	10.34	9.81	9.3	14.66	13.13	6.89	7.71	10.5	6.92	7.51	6.51	19.68	10.32	12.13	30.59	31.9
BCL11A	49.64	8.99	30.09	71.12	6.02	19.68	1.08	5.56	9.41	14.03	7.7	17.24	18.62	0.67	6.39	2.64	2.3	3.05	12.91	54.16	8.67	4.08	6.22	1.89
BCL11B	13.46	1.41	3.55	7.02	0.06	3.07	2.74	3.74	0.67	0.32	0	1.31	0.84	0.8	3.19	1.97	2.27	2.81	1.01	1.44	1.19	2.47	2.36	1.78
BCL2	10.65	1.76	1.12	9.17	0.76	2.62	3.76	5.57	0.91	14.56	0.78	4.14	1.67	0.9	4.16	3.33	1.07	1.31	3.16	1.06	2.97	3.92	0.76	0.59
BCL2A1	6.54	0.52	1.48	3.13	0	1.72	0	8.73	7.57	3	0	2.74	0.95	12.14	2.12	4.06	0.61	0	4.04	6.49	0	0	1	6.65
BCL2L1	42.47	21.5	35.62	43.33	14.98	43.82	70.86	36.76	51.38	23.17	33.22	23.83	43.43	21.82	51.96	27.47	35.28	27.21	22.38	50.57	48.03	126.91	115.24	57.74
BCL2L10	0	0	2.08	0	0	1.74	0	0.96	0	0	0	0	1.67	0	0	0	1.13	0	0	0	0	0	0	0.24
BCL2L11	15.33	18.34	29.77	31.36	13.91	9.55	11.16	21.87	14.38	8.11	16.15	17.36	11.21	7.4	17.56	11.95	26.73	17.53	9.74	49.36	7.72	19.8	12	23.7
BCL2L12	10.05	2.06	8.55	11.96	10.08	9.68	6.92	8.8	5.11	5.44	8.32	8.37	7.36	27.53	7.95	8.19	4.49	19.46	2.34	20.22	7.31	13.68	9.7	14.97
BCL2L13	15.2	13.03	34.24	11.4	21.16	18.34	34.71	14.97	29.54	22.62	16.95	13.48	10.06	48.72	17.48	8.58	16.96	14.69	12.15	20.28	20.43	21.93	27.65	10.6
BCL2L14	3.45	1.06	1.07	0.4	0	4	0	0.59	0	0	0	0	1.46	0	2.4	0.43	0	2.85	2.42	10.65	0	0	4.24	0
BCL2L2	11.84	16.15	35.21	31.7	15.45	30.5	25.53	14.6	16.41	14.8	29.61	27.48	26.31	17.99	14.5	11.17	16.57	20.47	12.05	19.55	15.65	26.2	30.68	16.03
BCL3	58.48	30.34	7.63	37.15	2.2	91.91	95.42	11.71	16.53	11.01	32.1	29.58	53.34	5.24	17.61	47.49	17.43	597.03	26.06	45.3	12.04	101.37	70.41	14.09
BCL6	55.16	58.89	30.46	33.22	23.72	99.87	96.03	57.12	112.59	94.68	21.37	94.12	47.47	10.89	38.13	67.89	25.74	100.57	41.89	38.76	27.67	234.2	109.67	37.47
BCL7A	6.07	2.86	6.25	3.31	4.45	6.5	1.14	5.05	4.29	2.31	4.01	3.31	4.14	1.55	4.23	2.32	3.28	5.49	3.21	6.65	2.85	6.89	3.94	1.62
BCL7B	24.78	9.21	13.46	27.37	4.83	25.49	63.18	18.88	16.83	20.94	10.22	11.83	6.38	23.01	17.04	20.84	15.1	36.17	11.09	17.69	15.7	51.97	30.91	17.42
BCL7C	4.99	3.48	5.27	6.26	1.8	7.59	6.6	4.99	4.51	2.89	3.95	4.42	9.02	5.57	5.35	7.42	4.54	14.86	3.79	3.84	8.63	3.09	20.23	5.6
BCL9	10.98	4.45	20.16	19.91	6.43	35.76	14.38	4.73	18.88	10.4	29.32	6.07	31.12	4.42	11.99	23.76	11.08	31.89	5.85	37	16.65	17.74	17.29	6.91
BCLAF1	99.31	45.73	90.46	106.13	24.38	102.71	83.96	58.81	50.79	55.1	63.01	91.87	55.55	118.92	58.65	50.05	54	89.78	55.44	60.57	69.76	40.27	87.84	53.79
BCO1	0.52	0.6	0	0	0.64	0.68	0.28	0.84	0	1.19	0	0.52	0.54	0	0.6	0	0.88	0	0.87	0.86	0.2	1.09	10.52	0
BCO2	6.88	4.19	3.2	6.63	3.74	6.15	3.36	0.89	0.52	5.3	7.16	9.61	5.74	2.45	3.88	2.58	1.72	1.99	10.47	2.62	4.12	16.25	6.8	2.51
BCOR	22.04	9.58	6.94	13.12	12.03	31.38	19.97	7.68	6.26	4.12	9.48	11.24	11.14	3.8	14.68	18.33	7.9	33.72	15.07	40.9	7.01	4.08	25.66	6.42
BCORL1	14.97	4.19	5.06	8.53	2.58	8.69	18.94	3.94	1.74	1.59	2.29	5.54	4.61	3.78	6.27	12.84	3.48	17.19	2.87	22.74	4.47	17.71	15.29	7.62
BCR	27.93	19.51	35.37	49.83	8.65	67.24	97.41	8.53	37.36	25.66	8.26	15.4	33.17	18	33.68	28.72	9.15	48.79	9.83	15.99	27.17	14.88	68.45	14.85
BCS1L	18.3	8.56	29.77	33.3	21.81	20.07	28.15	14.33	18.3	14.32	13.8	17.62	31.15	15.64	26.73	10.03	32.06	6.55	12.39	43.85	11.44	50.45	36.49	6.15
BCYRN1	12.94	29.2	26.93	26.04	6.27	22.3	78.57	27.52	32.91	97.11	147.68	22.24	43.69	16.26	55.54	31.45	46.88	43.96	19.34	54.82	36.37	0	34.85	99.13
BDH1	6.37	6.53	8.94	13.94	13.61	23.27	14.2	15.11	29.45	15.89	36.34	11.18	47.53	1	8.87	23.69	16.62	11.31	8.11	35.47	11.44	34.43	8.74	16.86
BDH2	4.76	6.02	9.41	13.31	9.87	9.57	3.57	8.54	10.05	5.41	1.76	18.13	3.1	2.69	3.83	5.48	4.93	1.42	10.79	2.56	11.78	7.98	3.03	0.59
BDKRB1	0	0	0	2.33	0	1.83	0	0	0	0	0	0.86	0	0	0.73	0	0	0	0	0	0.83	0	6.63	0
BDKRB2	2.22	4.27	5.87	5.51	0.4	9.29	5.13	3.6	1.22	3.22	4.9	6.35	0.57	0.86	1.97	1.25	3.22	2.04	0.32	0.64	4.37	33.15	8.43	0.21
BDNF	0	0.41	0	4.78	0.14	0.15	0	0.39	0	0.24	5.46	1.64	0.45	0.21	0.1	0.11	0.11	0	0.48	0	0.59	0.34	0.52	0
BDP1	19.54	20.72	19.24	37.76	18.2	22.76	25.2	23.31	27.36	24.3	21.29	30.62	14.63	38.01	24.85	13.94	19.68	7.93	16.87	18.09	20.24	13.16	22	18.86
BEAN1	0.91	1.39	2.75	4.75	0	5.28	11.31	4.24	1.4	0	1.39	0	0	2.38	1.35	0	3.42	1.34	2.59	0	7.58	0.53	21.62	4.25
BECN1	64.7	27.16	66.13	55.72	39.78	54.48	51.51	52.18	39.01	78.33	39.09	46.98	35.01	21.48	47.35	45.67	47.4	57.97	23.27	21.3	30.24	25.76	53.19	28.02
BEGAIN	0.17	10.47	0.59	0.72	0	5.32	2.8	0.18	0.3	0	0	1.71	0	0	0.13	0.57	0.49	1.32	1.03	0.37	0.65	4.23	5.25	2.44
BEND2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0
BEND3	1.17	0.63	3.02	1.13	1.21	2.4	1.07	2.05	2.37	2	1.63	0.74	1.55	2.05	1.6	1.05	1.63	2.44	1.23	6.15	1.59	2.7	0.9	1.68
BEND5	3.29	0.22	0	0.44	1.9	3.64	0.37	0.25	0	2.2	1.26	3.55	0	0	2.02	0.97	0	0	5.06	0.53	4.17	0	6.6	1.13
BEND6	0	0.88	3.37	3.01	0.84	1.21	3.35	0.69	0	0.91	0	10.56	0.19	1.75	0.1	0.16	0.41	0	0.44	0	6.91	0	2.62	2.22
BEND7	9.66	0.84	3.17	14.32	9.14	14.84	5.59	1	1.77	1.7	3.8	6.79	9.78	10.79	8.17	2.51	4.63	3.65	8.67	0.44	12.63	17.31	12.12	0.93
BEST1	2.85	2.91	2.68	2.54	0.88	2.79	12.05	2.19	1.38	3.73	6.57	5.7	9.35	3.88	2.85	6.88	3.14	1.39	1.37	4.96	3.72	4.4	7.73	2.67
BEST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEST3	0	0	1.84	0	0	0	0.18	0	0	0.49	0	0	0.23	0	0	0	0.15	0	0	0	0.26	0.46	1.47	0
BET1	13.84	6.47	6.34	6.66	8.24	7.61	2.27	29.99	21.18	7.43	8.54	20.7	3.6	16.55	11.04	17.36	5.69	6.23	16.15	13.67	9.64	10.04	5.32	19.54
BET1L	38.5	23.72	10.65	35.65	11.3	37.22	56.43	17.92	14.66	14.2	35.72	27.37	41.5	10.43	23.98	22.45	30.03	57.61	16.32	53.46	27.21	66.04	71.28	24.14
BEX1	0	0	0	0	0	1.68	2.23	0	0	6.48	0	0	28.58	0	0	0	0	0	0	21.16	0	0	0	0
BEX2	0.79	0	5.29	5.06	8.78	5.19	1.84	3.49	0.71	1.37	7.8	1.55	5.75	13.53	0.45	0.98	3.68	7.7	4.86	2.75	3.61	4.76	1.21	8.22
BEX3	25.92	10.24	61.93	42.57	17.45	65.19	88.98	20.11	28.13	29.74	51.58	31.09	61.09	98.07	4.12	26.91	34.38	110.45	28.62	42.89	66.58	93.16	73.88	35.72
BEX4	6.17	2.66	3.11	9.22	20.33	7.11	4.16	4.85	0.4	13.31	5.6	15.19	12.09	49.61	3.81	3.55	2.72	11.01	9.39	6.69	7.12	9.19	6.08	9.93
BFAR	32.56	9.41	16.29	32.28	21.08	49.87	35.99	25.48	41.87	17.67	7.3	16.35	23.76	27.17	10.27	14.59	22.41	45.42	15.59	20.68	19.7	46.18	29.27	15.81
BFSP1	0.22	0.54	0.47	2.12	0	0.87	0.25	0.53	0.39	0	0.29	0	1.65	0.22	1.32	0.2	0.63	0.56	1.1	0	1.15	12.8	0	1.01
BFSP2	0	0	0	0	0	0	0	0.98	0	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0
BFSP2-AS1	0	0	0	0	0	0	0	1.32	0	0	0	0.78	0	0	0.45	0.5	0	0	0.69	0	0	0	0	0
BGLAP	1.58	0.85	0	7.75	4.51	7.92	5.02	0.65	2.81	0	0.68	1.09	3.34	0	1.34	4.37	3.52	3.18	3.23	1.86	3.76	18.78	13.94	0.34
BGN	118.48	224.82	51.04	418.5	23.88	465.24	243.28	79.06	13.8	13.33	44.1	212.61	27.43	19.53	39.14	89.18	319.94	903.67	50.77	28.45	342.11	299.18	2777.64	2.98
BHLHA15	0	0.58	0	0	0	0	0	0	0.66	1.7	0	0	0	0	1.96	1.96	0	0	0	0	0.59	20.94	0	0
BHLHB9	2.31	2.77	0.96	3.32	4.71	0	0.54	1.77	1.65	0.33	2.89	3.44	1.64	2.24	1.24	0.54	0.43	2.05	3.16	1.36	1.88	1.98	1.15	0.64
BHLHE22	0.13	0	0.16	0	0	1.79	0	1.41	0	0.31	0	2.5	0	0.53	0.33	0.25	0	0	0.85	0	0.23	0	0.21	0
BHLHE23	0	0	0	0	0	0	0	0	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0
BHLHE40	75.05	130.44	61.63	132.76	7.29	344.48	110.61	79.95	34.15	7.71	49.19	71.46	38.49	67.65	40.92	81.46	35.94	206.65	38.01	52.05	29.54	53.46	265.27	121.16
BHLHE41	6.04	3.55	8	11.28	1.17	10.62	34.14	7.42	2.24	4.03	6.07	9.66	2.8	89.34	8.58	5.64	5.01	4.83	5.75	1.57	5.55	6.25	33.9	9.96
BHMT	0	0	0	0	0	0	0.42	0.29	0	1.36	1.54	1.02	1.06	0	0	0.5	0	0	1.81	0	0.75	2.08	0	0
BHMT2	3.5	9.21	0.2	11.35	18.6	2.79	7.36	13.19	51.52	45.19	270.05	32.08	4.87	2.36	0.25	54.98	1.58	6.6	11.34	1.23	25.06	3	1.86	1.07
BICC1	4.51	23.71	3.7	19.13	37.9	10.97	2.09	3.78	8.3	0.58	1.1	56.28	4.29	0.52	2.23	2.74	14.57	4.46	7.73	9.73	7.5	4.03	26.57	3.94
BICD1	37.69	28.46	44.17	68.94	18.63	74.94	99.49	22.92	4.52	11.62	4.84	32.23	21.3	8.1	17.86	7.36	12.24	12.27	29.89	33.06	32.88	56.14	109.74	24.16
BICD2	9.42	7.98	11.05	10.45	1.95	9.65	11.31	6.69	4.21	7.28	4.01	8.22	3.18	11.97	7.55	7.28	4.31	5.47	4.87	8.76	4.55	12.56	16.4	6.96
BICDL1	31.91	15.53	0	14.53	4.7	19.45	2.14	6.97	19.12	6.63	54.12	9.46	22.91	5.04	13	4.45	20.17	27	1.85	8.74	9.13	22.68	8.9	10.1
BICDL2	11.09	5.34	4.64	10.86	9.05	47.07	0.32	4.25	11.87	8.71	5.44	2.53	13.07	3.04	4.56	14.88	13.87	27.84	6.31	7.83	8.88	65.06	34.56	1.32
BICRA	13.09	3.57	12.4	8.93	0.83	18.34	9.49	6.08	4.19	7.45	3.73	5.73	6.87	10.6	5.2	8.17	5.9	12.57	5.41	10.45	3.62	17.67	13.58	7.52
BICRAL	10.87	2.83	7.58	18.11	6.52	11.96	8.37	8.34	12	8.11	5.44	10.82	27.84	8.31	11.61	8.96	6.25	9.62	8.32	10.1	6.72	9.08	8.2	3.99
BID	9.4	5.39	13.47	4.98	0.53	9.06	9.08	7.9	3.53	1.11	2.09	6.09	4.22	7.22	3.59	6.81	6.71	4.74	2.61	7.5	5.19	5.3	10.7	0.99
BIK	0.52	0.41	24.17	3.31	0	1.36	0	0.41	3.68	1.78	0	0	0	0.51	0	0.92	6.33	0	1.92	3.43	5.5	0	3.97	0.66
BIN1	17.39	8.83	6.02	7.93	1.08	16.54	28.99	7.25	6.91	6.49	3.82	12.69	3.88	1.42	8.31	10.29	7.21	14.71	4.95	16.13	8.71	12.41	15.24	21.29
BIN2	24.98	3.99	2.42	17.74	0.59	7.55	35.51	3.89	1.41	9.43	0.89	9.38	6.7	29.49	14.71	8.62	1.88	6.36	2.8	4.14	0.38	3.74	12.23	7.84
BIN3	9.95	13.26	6.98	17.23	5.14	30.75	18.79	12.5	8.3	8.55	14.36	8.01	13.4	12.58	8.79	5.12	9.73	22.03	6.88	6.11	10	2.18	36.14	7.62
BIRC2	23.02	15.27	41.9	31.71	27.59	23.86	24.79	20.04	55.44	18.05	8.78	38.17	14.45	24.66	22.81	19.42	24.36	11.06	20.73	26.1	25.18	15.04	18.12	17.29
BIRC3	30.67	48.27	23.23	18.68	43.58	7.08	9.37	27.71	352.84	15.69	0.42	52.1	6.94	6.16	24.51	4.98	13.83	2.98	13.7	7.1	19.17	7.16	15.91	8.5
BIRC5	6.59	3.09	22.07	2.51	13.38	4.32	3.32	8.81	18.84	11.3	26.56	3.87	13.22	25.32	3.38	6.9	14.81	0.86	1.31	21.97	9.36	8.09	3.51	18.84
BIRC6	53.65	41.42	68.8	73.94	48.46	39.37	44.77	36.23	50.61	77.28	29.09	72.59	53.5	63.37	61.92	49.64	30.89	22.9	42.88	49.77	47.05	22.92	23.43	26.79
BIRC7	1.28	0	1.25	0	0	1.43	0.84	0	0	0	0	0	0	1.78	0	0	1.37	0	0	1.21	0	2.58	3.9	0
BIRC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIVM	8.1	12.79	11.93	18.58	18.98	11.44	17.92	6.93	3.43	13.61	3	36.69	24.34	14.26	6.64	6.85	10.77	0.75	12.85	9.09	16.39	16.89	10.34	0.99
BLCAP	54.1	20.06	46.35	70.46	42.3	54.48	45.34	23.27	17.11	29.73	160.55	32.73	135.62	31.66	37.23	24.05	53.16	21.79	20.75	55.52	19.18	134.85	94.79	28.69
BLK	23.58	1.62	0.27	15.8	0	2.46	0.75	5.02	0	1.77	0.31	0	0	1.26	5.52	0.48	0	0	0.8	0	0	13.09	0	0.96
BLM	4.71	1.26	2.04	3.29	2.55	2.01	7.17	1.91	5.86	7.47	5.04	3.98	4.5	18.02	2.59	2.9	4.12	0.64	0.56	9.42	4.07	0	3.8	4.39
BLMH	15.77	6.3	29.25	20.75	2.44	19.79	15.1	13.9	1.98	8.88	9.91	31.11	4.09	20.38	13.21	7.99	14.58	5.26	9.58	10.93	13.75	7.68	10.39	5.94
BLNK	51.59	4.06	1.47	23.61	0.91	24.32	5.08	14.65	0.95	1.53	1.08	2.33	0	14.12	25.76	12.13	0.9	4.32	5.9	7.72	3.22	15.87	7.61	0.64
BLOC1S1	14.22	6.85	18.93	16.28	15.4	30.08	19.28	8.09	16.11	14.83	11.18	13.09	6.35	15.34	13.05	9.54	23.18	24.71	10.39	15.25	20.99	4	21.09	28.55
BLOC1S4	3.1	1.76	3.59	1.5	0.77	2.06	3.97	2.24	5.53	6.07	3.66	1.32	2.29	5.82	0.76	3.09	3.85	5.99	1.55	4.16	5.17	0.91	3.84	3.79
BLOC1S5	4.77	3.71	11.17	9.07	5.32	4.96	3.36	4.76	15.9	8.22	5.25	9.45	0.72	30.22	6.33	3.97	4.32	1.22	3.15	3.87	9.99	7.53	8.9	5.49
BLOC1S6	17.13	5.86	14.01	29.78	17.94	11.23	15.95	16.5	10	17.02	6.63	35.93	14.19	23.69	11.42	14.19	23.55	4.56	7.56	13.86	26.7	3.25	15.66	11.33
BLVRA	25.18	9.23	31.96	16.99	10.57	31.3	19.2	18.88	21.24	14.24	13.7	10.81	3.93	1.47	20.13	2.61	14.5	25.14	22.36	7.1	18.57	14.32	16.78	18.32
BLVRB	10.95	14.73	20.1	2.92	6.94	14.04	35.62	7.66	46.78	6.22	8.88	18.85	11.94	14.38	7.62	13.44	11.16	17.18	8.56	7.24	20.21	23.09	20	20.84
BLZF1	6.73	7.85	23.26	18.27	10.03	12.28	7.97	15.99	20.05	24.87	3.99	17.33	13.32	17.03	22.59	7.96	13.75	10.75	16.27	11.92	17.21	4.61	8.6	39.58
BMERB1	2.2	6.8	1.26	15.12	0	17.15	12.16	5.56	26.1	5.61	1.6	8.72	1.61	0.58	1.01	3.89	4.74	9.85	0.81	0.96	8.41	3.61	35.43	1.04
BMF	17.85	7.11	13.35	11.13	2.47	18.87	13.34	10.03	0.85	8.64	1.27	5.91	2.75	6.37	13.35	18.17	5.29	25.89	4.43	10.63	5.7	19.68	19.77	2.57
BMI1	6.82	7.74	7.31	13.94	9.38	9.84	5.89	8.02	19.97	13.52	11.11	13.7	9.48	12.11	10.35	5.4	5.31	22.53	8.08	10.56	6.04	22.6	6.64	4.5
BMP1	10.05	48.73	11.86	58.55	154.75	27.25	32.29	10.95	11.4	1.66	6.73	32.35	9.27	20.21	5.54	10.48	11.77	41.92	25.11	8.46	33.22	28.74	181.2	16.24
BMP10	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP2	1.11	5.48	0.58	35.86	3.24	3.78	3.88	3.39	3.62	2.13	3.11	12.16	2.38	0.49	0.61	1.8	2.62	12.33	11.98	24.28	0.94	2.57	3.64	1.67
BMP2K	30.98	14.52	19.67	41.53	13.27	9.66	23.23	17.44	13.31	18.01	6.14	38.82	4.17	10.87	19.73	13.4	19.18	7.99	16.01	27.66	18.4	17.77	20.62	9.42
BMP3	4.22	0	0	0	25.63	0.66	0	1.43	0.06	10.9	0	0.2	0.11	0.14	2.16	2.65	0	0.09	11.33	0	0	1.06	0	0
BMP4	3.98	2.44	4.01	5.75	10.49	5.47	16.84	7.71	0.38	0	42.48	1.14	1.91	0.79	17.05	6.78	43.7	7.02	1.12	1.8	2.94	0.79	37.62	2.53
BMP5	0	0.36	8.74	0	1.23	5.11	0	2.84	1.27	4.55	0	1.25	0	0	5.17	13.62	0.32	0.86	15.51	0.18	0.37	0	0	0
BMP6	0.57	0.57	0.68	3.56	0.14	2.76	2.15	1.3	0	39.03	0.92	5.1	0.51	0.34	4.39	0.84	5.11	1.35	0.73	0	0.68	1.72	0.54	0.15
BMP7	0.22	0.09	0.13	1.72	0	1.01	8.33	0.09	0	0.58	1.22	1.08	5.22	13.15	0	0.92	1.76	0	0.93	1.55	4.88	9.76	2.79	0.43
BMP8B	1.25	4.87	0.78	1.9	1.35	0.92	2.35	0.44	0.95	0.93	0.27	1.67	0.27	0.27	1.9	0.25	1.81	1.48	0.57	1.06	0.44	0.96	4.46	0.27
BMPER	4.68	0.56	0.14	2.77	1.35	2.25	3.58	1.56	0	1.16	2.56	4.58	1.19	0	1.65	2.31	2.56	0	3.19	1.81	0.12	5.35	4.46	0.14
BMPR1A	6.22	4.34	9.21	12.65	4.54	11.86	4.34	6.78	10.83	18.63	11.35	14.77	8.72	4.74	5.81	15.59	23.5	1.11	7.46	6.14	6.8	3.27	4.45	1.3
BMPR1B	0	1.72	1.72	8.79	0	12.95	1.65	0.44	0.86	3.18	1.28	4.29	5.61	0	0.65	0	1.7	0.89	0.55	1.63	9.57	1.39	4.5	0.05
BMPR2	20.07	13.74	20.41	60.35	15.63	41.45	23.06	19.24	17.31	17.07	7.07	27.15	18.3	46.73	20.76	19.5	17.48	12.73	19.75	33.86	29.88	18.56	38.24	6.51
BMS1	6.05	4.33	9.47	9.14	3.48	8.16	9.25	6.89	9.02	6	4.25	6.87	3.23	11.49	6.03	6.88	7.1	5.32	3.85	4.52	5.78	1.98	9.22	6.82
BMS1P20	87.63	12.19	25.55	72.8	7.26	52.46	10.85	1044.58	15.32	22.54	5.08	13.51	21.99	22.56	74.68	96.57	8.36	133.78	12.9	10.45	34.14	69.26	15.98	31.42
BMT2	5.32	3.28	5.06	4.74	5.34	1.88	5.09	5.15	2.07	3.95	2.43	5.13	3.05	12.25	10.48	5.15	1.71	0	2.65	3.6	2.75	1.32	1.83	1.71
BMX	0.35	0.15	0	1.85	0	0.47	0	0	0	0	0	1.01	0.52	0	0.86	0	0	0	0	0.3	0	0	0	0
BNC1	0.14	10.89	0	0.31	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0.16	0	0.86	1.39
BNC2	7.28	12.13	7.25	27.31	2.51	9.64	8.81	4.41	1.43	1.43	0.62	52.93	0.42	1.24	3.31	4.69	4.47	6.77	13.63	0.06	14.92	0.8	87.38	1.55
BNIP1	3.71	3.64	3.55	6.22	5.04	6.1	1.82	4.26	5.01	4.26	4.4	6.98	6.8	5.11	4.39	2.26	5.06	0.51	3.17	4.09	4.35	3.07	6.53	5.96
BNIP2	27.73	20.72	54.01	51.02	40.72	26	32.62	32.83	20.5	60.12	31.13	59.36	27.8	31.86	32.11	38.14	47.69	30.82	32.03	16.62	46.48	8.23	23.23	22.32
BNIP3	10.45	4.18	24.33	2.68	17.47	18.26	7.46	10.44	27.64	23.91	14.41	7.63	50.55	79.26	5.91	13.12	20.9	8.9	5.56	14.25	11.45	5.84	10.43	31.6
BNIP3L	40.73	17.78	31.21	53.04	26.84	45.16	38.73	34.89	53.79	52.95	63.67	60.77	19.81	93.11	27.34	26.01	16.11	39.06	26.21	10.85	36.31	15.75	35.98	49.01
BNIPL	3.09	0.76	1.86	0.86	2.08	1.94	0.31	1.82	0.71	1.83	0.25	0.38	1.85	2.03	1.18	12.82	2.23	1.54	2.32	2.86	1.16	3.44	1.73	3.72
BOC	5.71	6.7	5.09	46.32	0.12	14.24	9.14	3.41	0.82	1.69	1.24	15.8	6.98	0.1	2.14	4.18	1.78	15.32	6.48	1.17	7.56	1.57	61.46	1.98
BOD1	20.72	13.15	30.04	29.29	27.33	34.92	35.65	22.94	22.78	14.75	17.94	32.57	27.6	32.46	20.29	15.09	18.76	15.35	16.69	25.87	34.64	6.2	30.73	30.46
BOK	5.89	4.71	4.54	8.76	0.21	6.74	12.58	4.63	3.46	1.75	0.67	3.13	2.25	1.84	9.2	10.61	6.16	22.14	7.44	3.12	3.98	6.52	11	6.96
BOLA1	2.08	1.56	2.07	6.38	5.3	13.67	2.91	8.5	12.74	6.37	3.14	5.81	12.88	5.55	10.68	4.92	8.86	0	3.46	2.92	6.71	3.57	3.38	22.42
BOLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
BOP1	6.57	6.31	17.58	5.5	0.46	5.17	5.86	8.21	16.69	2.71	5.28	4.57	6.05	17.26	4.92	11.92	13.07	19.49	5.57	9.24	7.86	11.54	16.17	8.61
BORA	1.92	1.74	3.2	3.12	1.67	1.34	1.94	2.98	1.68	3.32	2.34	1.87	2.15	9.34	3.24	0.95	3.51	0.62	0.61	2.82	2.19	9.38	1.24	2.31
BORCS5	8.93	4.55	6.92	8.05	6.2	10.34	11.59	4.56	10.9	6.93	39.85	6.51	9.67	3.43	6.24	3.49	13.09	13.85	14.61	15.11	5	19.88	8.34	6.56
BORCS6	1.97	0.81	2.59	1.2	0	4.6	2.3	0.79	1.54	1.14	1.3	0.35	4.39	1.22	2.24	1.79	1.89	0.96	0.31	0.41	1.45	0	0	2.07
BORCS7	0.62	6.93	3.9	7.69	4.41	1.99	2.61	4.61	7.68	6.73	5.76	10.25	8.65	8.18	1.7	8.7	16.1	0.73	4.99	7.49	3.46	1.66	6.05	2.77
BORCS8-MEF2B	0	1.65	2.49	0.81	0	1.93	0	0.21	0	0	2.8	0	0	3.34	0	2.07	0.02	0	1.67	0	1.22	6.86	6.57	0
BPESC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPGM	10.08	4.35	8.06	8.73	1.66	5.01	1.86	7.71	5.23	7.99	2.8	5.69	2.51	7.68	9.57	20.32	3.32	3.44	4.35	4.45	6.49	0	2.48	4.9
BPHL	12.56	5.92	24.64	16.84	19.62	21.28	12.97	14.27	25.49	25.86	6.96	16.88	14.55	29.74	13.39	16.17	11.48	29.24	10.51	39.55	16.31	3.84	23.12	12.42
BPI	0	0	0	0	0	0	0	0.2	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4
BPIFA1	72.36	0	0.62	0	0	10.8	5.28	0	7.22	48.53	1.4	0	1.97	0	0.77	49.19	0	6.86	0.68	0	0	3898.07	3.64	0
BPIFA2	0.43	0	0	0.75	0	1.23	0	0	0	2.14	0.6	0	0.68	0	0	0.38	0	7.09	0	0	0	104.96	0	0
BPIFA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24	0	0
BPIFB1	0.28	0	0	0	0	64.79	0	0	0	5.79	1.89	0	0.41	0.55	0	11.69	0	62.17	0	0	0	53.36	0.43	0
BPIFB2	0	0	0	0.41	0	3.04	1.19	0	0	0.29	2.01	0	2.26	0	0	0	0	0	0	0	0	0.75	0	0
